Istanbul[Turkey]---280,84km--->Afyon[Turkey]
Afyon[Turkey]---552,28km--->Adana[Turkey]
Adana[Turkey]---401,14km--->Afula[Israel]
Afula[Israel]---647,65km--->Abu Kamal[Syria]
Abu Kamal[Syria]---488,08km--->Ad Diwaniyah[Iraq]
Ad Diwaniyah[Iraq]---392,75km--->Abadan[Iran]
Abadan[Iran]---86,01km--->Ahvaz[Iran]
Ahvaz[Iran]---387,32km--->Ad Dammam[Saudi Arabia]
Ad Dammam[Saudi Arabia]---62,56km--->Ad Dur[Bahrain]
Ad Dur[Bahrain]---67,56km--->Abu Samrah[Qatar]
Abu Samrah[Qatar]---72,64km--->Adh Dhakhirah[Qatar]
Adh Dhakhirah[Qatar]---324,71km--->Abu Dhabi[United Arab Emirates]
Abu Dhabi[United Arab Emirates]---1149,07km--->Ahwar[Yemen]
Ahwar[Yemen]---177,10km--->Aden[Yemen]
Aden[Yemen]---531,35km--->Abha[Saudi Arabia]
Abha[Saudi Arabia]---468,04km--->Afif[Saudi Arabia]
Afif[Saudi Arabia]---886,14km--->Adi Ugri[Eritrea]
Adi Ugri[Eritrea]---88,89km--->Adigrat[Ethiopia]
Adigrat[Ethiopia]---461,08km--->Addis Ababa[Ethiopia]
Addis Ababa[Ethiopia]---810,36km--->Adilang[Uganda]
Adilang[Uganda]---1782,17km--->Abeche[Chad]
Abeche[Chad]---1467,30km--->Agadez[Niger]
Agadez[Niger]---685,19km--->Ahaggar Mountains[Algeria]
Ahaggar Mountains[Algeria]---899,65km--->Adri[Libya]
Adri[Libya]---568,62km--->Adh Dhahibat[Tunisia]
Adh Dhahibat[Tunisia]---1068,10km--->Ajdabiya[Libya]
Ajdabiya[Libya]---827,44km--->Agrinion[Greece]
Agrinion[Greece]---990,47km--->Adjud[Romania]
Adjud[Romania]---899,59km--->Adutiskis[Lithuania]
Adutiskis[Lithuania]---370,31km--->Ainazi[Latvia]
Ainazi[Latvia]---327,66km--->Aizpute[Latvia]
Aizpute[Latvia]---1365,25km--->Abenra[Denmark]
Abenra[Denmark]---596,90km--->Aachen[Germany]
Aachen[Germany]---230,77km--->Aalst[Belgium]
Aalst[Belgium]---594,85km--->Aarau[Switzerland]
Aarau[Switzerland]---605,36km--->Ajaccio[France]
Ajaccio[France]---466,44km--->Acquaviva[San Marino]
Acquaviva[San Marino]---2208,61km--->Abadla[Algeria]
Abadla[Algeria]---440,99km--->Adrar[Algeria]
Adrar[Algeria]---1049,82km--->Ain Ben Tili[Mauritania]
Ain Ben Tili[Mauritania]---482,52km--->Agadir[Morocco]
