Istanbul[Turkey]---252,44km--->Aytos[Bulgaria]
Aytos[Bulgaria]---239,58km--->Alexandroupolis[Greece]
Alexandroupolis[Greece]---319,56km--->Alexandria[Romania]
Alexandria[Romania]---294,20km--->Adjud[Romania]
Adjud[Romania]---55,39km--->Bacau[Romania]
Bacau[Romania]---260,63km--->Babadag[Romania]
Babadag[Romania]---628,15km--->Afyon[Turkey]
Afyon[Turkey]---103,98km--->Aksehir[Turkey]
Aksehir[Turkey]---161,29km--->Antalya[Turkey]
Antalya[Turkey]---248,06km--->Anamur[Turkey]
Anamur[Turkey]---96,43km--->Akaki[Cyprus]
Akaki[Cyprus]---24,11km--->Ayios Theodhoros[Cyprus]
Ayios Theodhoros[Cyprus]---66,82km--->Athienou[Cyprus]
Athienou[Cyprus]---12,43km--->Aradhippou[Cyprus]
Aradhippou[Cyprus]---40,59km--->Ayios Seryios[Cyprus]
Ayios Seryios[Cyprus]---215,09km--->Al Batrun[Lebanon]
Al Batrun[Lebanon]---19,43km--->Amyun[Lebanon]
Amyun[Lebanon]---50,14km--->Baalbek[Lebanon]
Baalbek[Lebanon]---24,49km--->Al Labwah[Lebanon]
Al Labwah[Lebanon]---16,46km--->Al Hirmil[Lebanon]
Al Hirmil[Lebanon]---22,63km--->Al Judaydah[Lebanon]
Al Judaydah[Lebanon]---57,64km--->Ar Rastan[Syria]
Ar Rastan[Syria]---25,08km--->Al Qusayr[Syria]
Al Qusayr[Syria]---53,17km--->As Salamiyah[Syria]
As Salamiyah[Syria]---85,58km--->Ariha[Syria]
Ariha[Syria]---65,81km--->Antioch[Turkey]
Antioch[Turkey]---96,29km--->Baniyas[Syria]
Baniyas[Syria]---131,13km--->Alayh[Lebanon]
Alayh[Lebanon]---6,67km--->Ash Shuwayfat[Lebanon]
Ash Shuwayfat[Lebanon]---39,32km--->An Nabatiyah at Tahta[Lebanon]
An Nabatiyah at Tahta[Lebanon]---45,00km--->Al Qunaytirah[Syria]
Al Qunaytirah[Syria]---61,26km--->Az Zabdani[Syria]
Az Zabdani[Syria]---27,72km--->As Salihiyah[Syria]
As Salihiyah[Syria]---67,92km--->An Nabk[Syria]
An Nabk[Syria]---119,09km--->As Suwayda[Syria]
As Suwayda[Syria]---51,71km--->Al Mafraq[Jordan]
Al Mafraq[Jordan]---0,00km--->Al Mafraq[United Arab Emirates]
Al Mafraq[United Arab Emirates]---26,67km--->Az Zarqa[Jordan]
Az Zarqa[Jordan]---22,23km--->Amman[Jordan]
Amman[Jordan]---24,44km--->As Salt[Jordan]
As Salt[Jordan]---71,11km--->Afula[Israel]
Afula[Israel]---102,95km--->Ashdod[Israel]
Ashdod[Israel]---12,40km--->Ashqelon[Israel]
Ashqelon[Israel]---80,82km--->Arad[Israel]
Arad[Israel]---92,29km--->Al Qatranah[Jordan]
Al Qatranah[Jordan]---82,19km--->Bair[Jordan]
Bair[Jordan]---66,21km--->Al Jafr[Jordan]
Al Jafr[Jordan]---92,00km--->Al Mudawwarah[Jordan]
Al Mudawwarah[Jordan]---110,47km--->Al Aqabah[Jordan]
Al Aqabah[Jordan]---95,65km--->Al Badi[Saudi Arabia]
Al Badi[Saudi Arabia]---30,69km--->Al Maqnah[Saudi Arabia]
Al Maqnah[Saudi Arabia]---148,38km--->Al Ghurdaqah[Egypt]
Al Ghurdaqah[Egypt]---294,70km--->Asyut[Egypt]
Asyut[Egypt]---99,90km--->Al Minya[Egypt]
Al Minya[Egypt]---116,88km--->Al Fayyum[Egypt]
Al Fayyum[Egypt]---161,74km--->Al Mahallah al Kubra[Egypt]
Al Mahallah al Kubra[Egypt]---142,93km--->Alexandria[Egypt]
Alexandria[Egypt]---298,93km--->Al Bawiti[Egypt]
Al Bawiti[Egypt]---2,22km--->Al Qasr[Egypt]
Al Qasr[Egypt]---339,50km--->Al Kharijah[Egypt]
Al Kharijah[Egypt]---72,97km--->Baris[Egypt]
Baris[Egypt]---247,09km--->Abu Simbel[Egypt]
Abu Simbel[Egypt]---212,54km--->Aswan[Egypt]
Aswan[Egypt]---444,94km--->Al Wajh[Saudi Arabia]
Al Wajh[Saudi Arabia]---438,32km--->As Sidr[Libya]
As Sidr[Libya]---115,63km--->Al Qadimah[Saudi Arabia]
Al Qadimah[Saudi Arabia]---166,84km--->At Taif[Saudi Arabia]
At Taif[Saudi Arabia]---96,03km--->Al Lith[Saudi Arabia]
Al Lith[Saudi Arabia]---124,54km--->Al Qunfudhah[Saudi Arabia]
Al Qunfudhah[Saudi Arabia]---174,99km--->Abha[Saudi Arabia]
Abha[Saudi Arabia]---283,79km--->Al Hudaydah[Yemen]
Al Hudaydah[Yemen]---148,78km--->Assab[Eritrea]
Assab[Eritrea]---96,40km--->Balho[Djibouti]
Balho[Djibouti]---83,30km--->Arta[Djibouti]
Arta[Djibouti]---32,02km--->Ali Sabieh[Djibouti]
Ali Sabieh[Djibouti]---37,27km--->Aysha[Ethiopia]
Aysha[Ethiopia]---59,87km--->As Ela[Djibouti]
As Ela[Djibouti]---374,83km--->Aden[Yemen]
Aden[Yemen]---177,10km--->Ahwar[Yemen]
Ahwar[Yemen]---280,48km--->Al Mukalla[Yemen]
Al Mukalla[Yemen]---54,64km--->Ash Shihr[Yemen]
Ash Shihr[Yemen]---261,46km--->Bareeda[Somalia]
Bareeda[Somalia]---328,37km--->Al Ghaydah[Yemen]
Al Ghaydah[Yemen]---424,44km--->Al Ubaylah[Saudi Arabia]
Al Ubaylah[Saudi Arabia]---205,52km--->Al Kharrarah[Qatar]
Al Kharrarah[Qatar]---30,76km--->Abu Samrah[Qatar]
Abu Samrah[Qatar]---28,93km--->Ash Shahaniyah[Qatar]
Ash Shahaniyah[Qatar]---22,86km--->Al Jumayliyah[Qatar]
Al Jumayliyah[Qatar]---21,74km--->Al Ghuwayriyah[Qatar]
Al Ghuwayriyah[Qatar]---24,88km--->Az Zubarah[Qatar]
Az Zubarah[Qatar]---45,76km--->Al Hadd[Bahrain]
Al Hadd[Bahrain]---3,62km--->Arad[Bahrain]
Arad[Bahrain]---2,22km--->Al Muharraq[Bahrain]
Al Muharraq[Bahrain]---10,73km--->Ar Rifa[Bahrain]
Ar Rifa[Bahrain]---2,83km--->Awali[Bahrain]
Awali[Bahrain]---5,95km--->Al Askar[Bahrain]
Al Askar[Bahrain]---5,65km--->Ad Dur[Bahrain]
Ad Dur[Bahrain]---6,59km--->Ar Rumaytha[Bahrain]
Ar Rumaytha[Bahrain]---3,34km--->Al Mumattalah[Bahrain]
Al Mumattalah[Bahrain]---4,24km--->Al Amar[Bahrain]
Al Amar[Bahrain]---5,68km--->Az Zallaq[Bahrain]
Az Zallaq[Bahrain]---3,54km--->Al Malikiyah[Bahrain]
Al Malikiyah[Bahrain]---9,13km--->Al Budayyi[Bahrain]
Al Budayyi[Bahrain]---28,37km--->Al Khubar[Saudi Arabia]
Al Khubar[Saudi Arabia]---13,90km--->Ad Dammam[Saudi Arabia]
Ad Dammam[Saudi Arabia]---90,43km--->Al Jubayl[Saudi Arabia]
Al Jubayl[Saudi Arabia]---200,28km--->Ar Rayyan[Qatar]
Ar Rayyan[Qatar]---13,67km--->Al Wukayr[Qatar]
Al Wukayr[Qatar]---7,91km--->Al Wakrah[Qatar]
Al Wakrah[Qatar]---36,98km--->Al Khawr[Qatar]
Al Khawr[Qatar]---6,55km--->Adh Dhakhirah[Qatar]
Adh Dhakhirah[Qatar]---156,48km--->Az Zannah[United Arab Emirates]
Az Zannah[United Arab Emirates]---123,58km--->Aradah[United Arab Emirates]
Aradah[United Arab Emirates]---67,04km--->An Nashshash[United Arab Emirates]
An Nashshash[United Arab Emirates]---98,00km--->Abu Dhabi[United Arab Emirates]
Abu Dhabi[United Arab Emirates]---124,64km--->Ash Shariqah[United Arab Emirates]
Ash Shariqah[United Arab Emirates]---7,38km--->Ajman[United Arab Emirates]
Ajman[United Arab Emirates]---80,55km--->Al Buraymi[Oman]
Al Buraymi[Oman]---2,91km--->Al Ayn[United Arab Emirates]
Al Ayn[United Arab Emirates]---85,74km--->Al Fujayrah[United Arab Emirates]
Al Fujayrah[United Arab Emirates]---111,54km--->Al Khaburah[Oman]
Al Khaburah[Oman]---177,11km--->Al Huwaisah[Oman]
Al Huwaisah[Oman]---323,89km--->Bandar-e Abbas[Iran]
Bandar-e Abbas[Iran]---686,41km--->Ashgabat[Turkmenistan]
Ashgabat[Turkmenistan]---110,45km--->Baherden[Turkmenistan]
Baherden[Turkmenistan]---71,28km--->Bamy[Turkmenistan]
Bamy[Turkmenistan]---382,05km--->Amu Darya[Turkmenistan]
Amu Darya[Turkmenistan]---341,21km--->Aralsk[Kazakstan]
Aralsk[Kazakstan]---510,25km--->Babadayhan[Turkmenistan]
Babadayhan[Turkmenistan]---346,31km--->Bala Morghab[Afghanistan]
Bala Morghab[Afghanistan]---209,76km--->Andkhvoy[Afghanistan]
Andkhvoy[Afghanistan]---117,87km--->Aqcheh[Afghanistan]
Aqcheh[Afghanistan]---203,88km--->Bamian[Afghanistan]
Bamian[Afghanistan]---115,63km--->Baghlan[Afghanistan]
Baghlan[Afghanistan]---131,54km--->Ayni[Tajikistan]
Ayni[Tajikistan]---196,48km--->Angren[Uzbekistan]
Angren[Uzbekistan]---241,48km--->Andijon[Uzbekistan]
Andijon[Uzbekistan]---228,37km--->Asmar[Afghanistan]
Asmar[Afghanistan]---201,42km--->Bahawalpur[Pakistan]
Bahawalpur[Pakistan]---132,81km--->Barmer[Rajasthan]
Barmer[Rajasthan]---94,56km--->Balotra[Rajasthan]
