Istanbul[Turkey]---82,43km--->Bursa[Turkey]
Bursa[Turkey]---214,75km--->Afyon[Turkey]
Afyon[Turkey]---103,98km--->Aksehir[Turkey]
Aksehir[Turkey]---161,29km--->Antalya[Turkey]
Antalya[Turkey]---248,06km--->Anamur[Turkey]
Anamur[Turkey]---96,43km--->Akaki[Cyprus]
Akaki[Cyprus]---24,11km--->Ayios Theodhoros[Cyprus]
Ayios Theodhoros[Cyprus]---66,82km--->Athienou[Cyprus]
Athienou[Cyprus]---12,43km--->Aradhippou[Cyprus]
Aradhippou[Cyprus]---40,59km--->Ayios Seryios[Cyprus]
Ayios Seryios[Cyprus]---215,09km--->Al Batrun[Lebanon]
Al Batrun[Lebanon]---19,43km--->Amyun[Lebanon]
Amyun[Lebanon]---22,69km--->Bsharri[Lebanon]
Bsharri[Lebanon]---30,08km--->Baalbek[Lebanon]
Baalbek[Lebanon]---24,49km--->Al Labwah[Lebanon]
Al Labwah[Lebanon]---16,46km--->Al Hirmil[Lebanon]
Al Hirmil[Lebanon]---22,63km--->Al Judaydah[Lebanon]
Al Judaydah[Lebanon]---57,64km--->Ar Rastan[Syria]
Ar Rastan[Syria]---25,08km--->Al Qusayr[Syria]
Al Qusayr[Syria]---53,17km--->As Salamiyah[Syria]
As Salamiyah[Syria]---85,58km--->Ariha[Syria]
Ariha[Syria]---65,81km--->Antioch[Turkey]
Antioch[Turkey]---96,29km--->Baniyas[Syria]
Baniyas[Syria]---128,40km--->Beirut[Lebanon]
Beirut[Lebanon]---6,71km--->Ash Shuwayfat[Lebanon]
Ash Shuwayfat[Lebanon]---6,67km--->Alayh[Lebanon]
Alayh[Lebanon]---9,04km--->Bayt ad Din[Lebanon]
Bayt ad Din[Lebanon]---32,27km--->An Nabatiyah at Tahta[Lebanon]
An Nabatiyah at Tahta[Lebanon]---23,32km--->Bint Jubayl[Lebanon]
Bint Jubayl[Lebanon]---44,48km--->Al Qunaytirah[Syria]
Al Qunaytirah[Syria]---61,26km--->Az Zabdani[Syria]
Az Zabdani[Syria]---27,72km--->As Salihiyah[Syria]
As Salihiyah[Syria]---67,92km--->An Nabk[Syria]
An Nabk[Syria]---119,09km--->As Suwayda[Syria]
As Suwayda[Syria]---51,71km--->Al Mafraq[Jordan]
Al Mafraq[Jordan]---0,00km--->Al Mafraq[United Arab Emirates]
Al Mafraq[United Arab Emirates]---26,67km--->Az Zarqa[Jordan]
Az Zarqa[Jordan]---22,23km--->Amman[Jordan]
Amman[Jordan]---24,44km--->As Salt[Jordan]
As Salt[Jordan]---64,28km--->Bethlehem[Israel]
Bethlehem[Israel]---0,00km--->Bethlehem[Jordan]
Bethlehem[Jordan]---42,76km--->Arad[Israel]
